mean,downCI,upCI,group,nFac
8.51448560978911,7.355328079364422,9.750004301461903,data,1
2.0865260327616366,1.2508932365440528,3.0732995062519315,data,2
0.41653430518234513,0.1399059110122936,0.7646067698078387,data,3
-0.08581275288907433,-0.1516998803509359,-0.04133115599295259,data,4
-0.11637813154695473,-0.17402731999792198,-0.07977740738286171,data,5
-0.15001807750356405,-0.2143063227279342,-0.10121963655943475,data,6
-0.20712988593960524,-0.29567022545098953,-0.1318436678381082,data,7
-0.252963078430669,-0.3782151135627064,-0.15631887190541519,data,8
-0.31945333334542214,-0.43800475648754245,-0.19953999818591817,data,9
-0.379976263472585,-0.5390598430835127,-0.230583768710106,data,10
-0.4508175509834321,-0.6059639293067445,-0.27697393112626534,data,11
-0.5405111844797471,-0.7736517374870718,-0.3287697188866612,data,12
1.1600433639006387,1.0838768641173346,1.23620083595742,random,1
0.6813486452600155,0.643921143398752,0.7191395226844759,random,2
0.4943599494257483,0.46139396131931665,0.5278542535598865,random,3
0.3378174820147389,0.31102971844288263,0.35993659665412814,random,4
0.20063956733140392,0.18031938263859001,0.223105899181718,random,5
0.07817322682766929,0.0568148323914749,0.0983659621581486,random,6
-0.033083667373308256,-0.05498267796819815,-0.015623037901598946,random,7
-0.14175562933986402,-0.1614518779542909,-0.12402927339529447,random,8
-0.24558525644626464,-0.26244896798474143,-0.23038342479023538,random,9
-0.34877982464196683,-0.37367045823108264,-0.3254865901623001,random,10
-0.45423583002880186,-0.4765540527743729,-0.43765587336170975,random,11
-0.5698039038754399,-0.5923896298916247,-0.5494162661393727,random,12
