Subject,0.25ACh,0.35ACh,0.48ACh,0.68ACh,0.94ACh,1.31ACh,1.83ACh,2.54ACh,3.54ACh,4.93ACh,6.87ACh,9.57ACh
S1,18.583485,22.09909,25.811375,31.27119,37.47649,40.278795,38.75573,33.32687,25.571585,17.48225,10.63557,5.75138
S10,5.506965,6.38583,9.08274,14.57726,20.829785,26.50558,30.04537,30.35286,27.343065,21.97919,15.77715,10.12212
S11,8.541435,10.97096,14.03206,16.56442,18.01241,18.005565,16.511155,13.862075,10.6362,7.447045,4.7519,2.76057
S12,16.252825,17.108695,22.918745,29.67248,35.33733,38.641195,38.787455,35.78595,30.43166,23.952185,17.541465,12.0236
S13,21.10589,21.10589,23.124625,29.35241,35.101755,37.401465,35.32632,29.515615,21.835105,14.359275,8.452975,4.497425
S14,16.68495,16.68495,19.335805,28.55983,37.4959,43.764035,45.42795,41.962585,34.521265,25.31822,16.57342,9.695965
S15,11.16136,11.605765,13.748875,16.12541,19.943205,28.707055,36.50362,39.57483,35.974625,27.43749,17.87733,10.325235
S16,5.570805,9.69909,15.4234,21.895435,27.71268,31.2473,31.379025,28.071735,22.389225,15.940985,10.15063,5.7941
S17,13.85193,13.991895,18.093565,25.09611,32.042935,37.269625,39.220225,37.21837,31.84892,24.658025,17.39033,11.28979
S18,9.18059,10.00684,15.954905,22.57057,28.21244,31.110305,30.296425,26.15085,20.12854,13.92525,8.73447,5.006785
S19,17.856865,18.935215,25.60648,31.722145,35.67283,36.41742,33.753565,28.406615,21.710345,15.0705,9.50333,5.444925
S2,17.507725,17.507725,19.59894,25.94969,31.698815,35.72547,37.151225,35.65233,31.579465,25.824365,19.50255,13.60633
S20,22.280295,29.4268,36.35688,41.702085,44.134485,42.90993,38.23352,31.20477,23.361735,16.09727,10.26226,6.09513
S21,10.03093,12.8127,17.515915,22.240875,26.229925,28.73211,29.232275,27.62368,24.245075,19.764585,14.964875,10.523965
S22,12.04222,12.04222,15.687955,24.496885,34.43616,42.124815,44.842135,41.539965,33.487685,23.493705,14.344145,7.621925
S23,13.31911,14.305055,17.710365,21.303295,24.77374,29.067965,30.297175,27.897435,22.62695,16.163355,10.196435,5.71049
S24,13.88588,16.163485,18.487345,23.193285,28.409,31.58734,31.629395,28.421155,22.93577,16.70906,11.09369,6.801395
S25,15.78741,15.78741,17.30699,22.417425,28.10658,32.072545,33.124805,30.893585,26.038165,19.909995,13.912715,8.981155
S26,11.782695,12.974635,14.73508,16.964555,19.992185,22.017155,22.675745,21.852395,19.711395,16.64406,13.15432,9.72742
S27,14.74774,16.50136,19.526855,25.105215,33.238635,39.80376,42.083305,38.626515,30.496095,20.660665,12.060635,6.1342
S28,14.41363,18.312115,24.845085,30.284125,33.14356,32.58258,28.81546,22.98445,16.59513,10.89527,6.53824,3.60553
S29,13.143125,16.820805,25.000095,34.304825,42.556145,47.700595,48.286215,44.123195,36.381875,27.06014,18.149995,10.97538
S3,11.47946,13.70114,18.105735,23.34192,31.019935,36.30558,37.427925,33.99135,27.198815,19.177665,11.916725,6.526495
S30,10.120005,13.441595,18.006425,22.513785,26.273255,28.616965,29.0923,27.60433,24.446775,20.20746,15.59007,11.22617
S31,9.290505,9.290505,10.418835,12.73404,16.939095,20.51032,22.610025,22.69738,20.75429,17.290995,13.12938,9.08913
S32,8.65481,9.611345,13.34146,17.86631,22.226065,25.69012,27.5954,27.553465,25.579815,22.086325,17.74137,13.262635
S33,18.08715,18.08715,18.08715,18.68883,20.824185,26.506545,31.33525,33.054085,31.13987,26.328615,20.159525,14.1616
S34,20.56867,24.995335,34.624905,47.02052,57.891115,64.61584,65.38065,59.969025,49.860935,37.578675,25.672355,15.89764
S35,8.957185,13.53632,20.271655,27.60629,34.175035,38.44526,39.288195,36.460545,30.717655,23.486905,16.29346,10.252655
S36,14.051235,16.86332,22.523045,28.168365,32.06501,33.200975,31.252445,26.732865,20.77307,14.66107,9.39739,5.47069
S37,22.21216,29.33479,36.042485,41.19227,43.78605,43.285685,39.795155,34.02532,27.057555,20.01414,13.77258,8.818835
S38,13.62541,16.89453,22.507755,27.67022,31.38439,32.83836,31.6944,28.21656,23.17147,17.55331,12.26786,7.911365
S39,14.008405,14.008405,14.31489,17.334125,20.3259,26.14334,33.727835,36.0835,31.10088,21.269865,11.497755,4.94547
S4,6.13872,10.567155,16.33848,22.690795,28.306355,31.71947,31.929175,28.872315,23.454165,17.11652,11.22227,6.610415
S40,26.19379,27.685295,32.51234,36.732125,43.55133,48.139515,46.380545,38.659285,27.86397,17.479745,9.670485,4.80472
S41,8.916935,11.194895,14.145865,18.49571,24.274695,28.555025,30.055705,28.26595,23.72436,17.75644,11.844655,7.04057
S42,21.83992,21.83992,21.83992,27.51911,36.022835,41.723395,42.749145,38.74018,31.05093,22.01462,13.809195,7.666465
S43,8.43125,12.122255,19.21397,27.289245,34.739465,39.65301,40.60336,37.31979,30.8114,22.86779,15.270695,9.18382
S44,10.169995,10.169995,11.696335,14.269675,19.30436,23.72186,26.388075,26.5062,24.003655,19.583275,14.39552,9.54399
S45,7.41812,9.38455,11.36219,12.825815,14.061135,15.28744,14.60611,11.977095,8.285375,4.79142,2.31406,1
S46,11.546455,11.905915,14.5441,17.5055,20.26929,24.380245,27.13235,27.14108,24.31282,19.451265,13.877105,8.825415
