Subject,Repetition,SpatialFreq,Sensitivity
S1,1,0.25,23.76857
S2,1,0.25,17.95982
S3,1,0.25,14.23495
S4,1,0.25,5.14453
S5,1,0.25,16.04848
S6,1,0.25,10.90858
S7,1,0.25,8.40939
S8,1,0.25,10.54553
S9,1,0.25,9.05652
S10,1,0.25,3.57235
S11,1,0.25,4.89115
S12,1,0.25,11.05273
S13,1,0.25,19.9308
S14,1,0.25,15.04233
S15,1,0.25,13.84395
S16,1,0.25,5.13512
S17,1,0.25,14.87242
S18,1,0.25,6.93983
S19,1,0.25,16.02153
S20,1,0.25,15.10263
S21,1,0.25,8.39924
S22,1,0.25,13.36329
S23,1,0.25,14.79817
S24,1,0.25,12.77184
S25,1,0.25,13.27367
S26,1,0.25,10.75156
S27,1,0.25,13.42545
S28,1,0.25,16.95274
S29,1,0.25,16.80712
S30,1,0.25,8.81219
S31,1,0.25,11.02197
S32,1,0.25,7.99989
S33,1,0.25,12.35145
S34,1,0.25,27.00307
S35,1,0.25,10.02264
S36,1,0.25,12.82468
S37,1,0.25,21.2148
S38,1,0.25,13.14849
S39,1,0.25,9.95398
S40,1,0.25,24.10766
S41,1,0.25,11.38582
S42,1,0.25,23.23819
S43,1,0.25,6.92903
S44,1,0.25,7.72114
S45,1,0.25,7.63855
S46,1,0.25,9.29597
S47,1,0.25,9.32715
S48,1,0.25,12.79613
S49,1,0.25,13.61433
S50,1,0.25,3.7995
S51,1,0.25,15.01124
S1,2,0.25,13.3984
S2,2,0.25,17.05563
S3,2,0.25,8.72397
S4,2,0.25,7.13291
S5,2,0.25,13.17703
S6,2,0.25,7.10531
S7,2,0.25,8.06527
S8,2,0.25,15.9569
S9,2,0.25,15.70783
S10,2,0.25,7.44158
S11,2,0.25,12.19172
S12,2,0.25,21.45292
S13,2,0.25,22.28098
S14,2,0.25,18.32757
S15,2,0.25,8.47877
S16,2,0.25,6.00649
S17,2,0.25,12.83144
S18,2,0.25,11.42135
S19,2,0.25,19.6922
S20,2,0.25,29.45796
S21,2,0.25,11.66262
S22,2,0.25,10.72115
S23,2,0.25,11.84005
S24,2,0.25,14.99992
S25,2,0.25,18.30115
S26,2,0.25,12.81383
S27,2,0.25,16.07003
S28,2,0.25,11.87452
S29,2,0.25,9.47913
S30,2,0.25,11.42782
S31,2,0.25,7.55904
S32,2,0.25,9.30973
S33,2,0.25,23.82285
S34,2,0.25,14.13427
S35,2,0.25,7.89173
S36,2,0.25,15.27779
S37,2,0.25,23.20952
S38,2,0.25,14.10233
S39,2,0.25,18.06283
S40,2,0.25,28.27992
S41,2,0.25,6.44805
S42,2,0.25,20.44165
S43,2,0.25,9.93347
S44,2,0.25,12.61885
S45,2,0.25,7.19769
S46,2,0.25,13.79694
S47,2,0.25,12.78793
S48,2,0.25,16.08505
S49,2,0.25,13.34388
S50,2,0.25,8.96673
S51,2,0.25,14.90928
S1,1,0.35,23.76857
S2,1,0.35,17.95982
S3,1,0.35,14.23495
