Subject,Day,Time,Cbratio
S1,1,0,-0.4206
S2,1,0,2.8213
S3,1,0,1.6856
S4,1,0,2.5496
S5,1,0,-0.2166
S6,1,0,0.6264
S7,1,0,2.6196
S8,1,0,1.4151
S9,1,0,1.5372
S10,1,0,3.0519
S1,1,1,0.8022
S2,1,1,0.8808
S3,1,1,1.7003
S4,1,1,2.5389
S5,1,1,4.2829
S6,1,1,2.9301
S7,1,1,1.5804
S8,1,1,3.527
S9,1,1,2.5412
S10,1,1,1.366
S1,1,2,1.0138
S2,1,2,1.8323
S3,1,2,2.2673
S4,1,2,3.0002
S5,1,2,5.067
S6,1,2,3.136
S7,1,2,1.1866
S8,1,2,1.8006
S9,1,2,0.9667
S10,1,2,2.9343
S1,1,3,0.6337
S2,1,3,0.8773
S3,1,3,1.8006
S4,1,3,-0.1375
S5,1,3,-0.2819
S6,1,3,3.4286
S7,1,3,-0.1877
S8,1,3,1.2105
S9,1,3,1.2621
S10,1,3,1.1877
S1,1,4,-0.2447
S2,1,4,0.6928
S3,1,4,2.2336
S4,1,4,2.0483
S5,1,4,1.5125
S6,1,4,1.9724
S7,1,4,0.9293
S8,1,4,0.8851
S9,1,4,0.3801
S10,1,4,2.0531
S1,1,5,-0.8338
S2,1,5,2.0869
S3,1,5,1.7165
S4,1,5,3.3376
S5,1,5,-0.3909
S6,1,5,1.4946
S7,1,5,2.8525
S8,1,5,0.0903
S9,1,5,0.5532
S10,1,5,0.4484
S1,5,0,2.4188
S2,5,0,0.7213
S3,5,0,1.7577
S4,5,0,-1.1438
S5,5,0,2.557
S6,5,0,4.7917
S7,5,0,2.9312
S8,5,0,3.3016
S9,5,0,-0.5019
S10,5,0,1.6783
S1,5,1,1.7629
S2,5,1,1.9547
S3,5,1,1.677
S4,5,1,-0.5093
S5,5,1,0.2692
S6,5,1,3.3816
S7,5,1,2.7515
S8,5,1,2.9773
S9,5,1,0.6566
S10,5,1,0.0176
S1,5,2,1.9116
S2,5,2,1.897
S3,5,2,1.6959
S4,5,2,-2.876
S5,5,2,1.2374
S6,5,2,2.1527
S7,5,2,1.2711
S8,5,2,1.5852
S9,5,2,0.7977
S10,5,2,0.4974
S1,5,3,0.6093
S2,5,3,2.0137
S3,5,3,1.451
S4,5,3,0.3506
S5,5,3,0.6003
S6,5,3,0.7967
S7,5,3,0.9838
S8,5,3,1.6377
S9,5,3,0.5762
S10,5,3,2.4612
S1,5,4,0.8108
S2,5,4,2.1031
S3,5,4,1.8474
S4,5,4,-0.7297
S5,5,4,0.8431
S6,5,4,0.9177
S7,5,4,0.3953
S8,5,4,1.549
S9,5,4,0.3019
S10,5,4,-0.4467
S1,5,5,0.3633
S2,5,5,1.2547
S3,5,5,0.5322
S4,5,5,0.8363
S5,5,5,-0.2857
S6,5,5,-0.1465
S7,5,5,-0.1438
S8,5,5,0.6174
S9,5,5,0.0113
S10,5,5,1.4831
